Frequency,Note,Magnitude
412.0,G#4,0.007298722222257638
400.0,G4,0.0054358317877432425
428.0,A4,0.0038057890317194833
412.0,G#4,0.036978978082336064
428.0,A4,0.014489650193403696
400.0,G4,0.013241227140230996
416.0,G#4,0.09213491136475588
832.0,G#5,0.03309833538286469
428.0,A4,0.022911764335570246
412.0,G#4,0.15578344182336637
828.0,G#5,0.06555432243037722
428.0,A4,0.02970156340457766
412.0,G#4,0.1918654655452353
828.0,G#5,0.09293682007489273
428.0,A4,0.040282109960865405
416.0,G#4,0.18231311110522988
828.0,G#5,0.09625478511798385
428.0,A4,0.06666017182578902
416.0,G#4,0.1377481080354505
428.0,A4,0.08327121774333211
464.0,A#4,0.07865871231969819
468.0,A#4,0.15539810047312994
936.0,A#5,0.1312295658476087
420.0,G#4,0.08473129581732067
468.0,A#4,0.22501285169872576
932.0,A#5,0.1869262428754848
452.0,A4,0.07323812293059152
464.0,A#4,0.24243410927338244
932.0,A#5,0.22116329703129572
1404.0,F6,0.06776236822954111
464.0,A#4,0.22439087940387836
932.0,A#5,0.19732023860593562
1388.0,F6,0.05493242687193805
928.0,A#5,0.1719856334103917
464.0,A#4,0.16078057663957593
416.0,G#4,0.07207783144997819
416.0,G#4,0.12231227548690543
928.0,A#5,0.09809553492777205
460.0,A#4,0.08962367237359496
416.0,G#4,0.16496952599644718
840.0,G#5,0.08237482816540141
428.0,A4,0.06876872930755144
416.0,G#4,0.18237630050958703
840.0,G#5,0.14235936280567132
428.0,A4,0.05882663463558158
420.0,G#4,0.228912777789702
840.0,G#5,0.18349887805768542
428.0,A4,0.051332644832816327
416.0,G#4,0.22819953667423676
836.0,G#5,0.1854081148977745
428.0,A4,0.03735304392271049
416.0,G#4,0.2558044360700518
828.0,G#5,0.18831107223387153
1240.0,D#6,0.03485235384420602
416.0,G#4,0.25111413304547464
828.0,G#5,0.23197108427104102
1240.0,D#6,0.04587300073780473
416.0,G#4,0.2454147585747094
828.0,G#5,0.2193929853157375
1236.0,D#6,0.04635353417501952
416.0,G#4,0.24990202225279678
832.0,G#5,0.2144562734860908
1236.0,D#6,0.046295692308960426
416.0,G#4,0.253979836858972
832.0,G#5,0.21741968102591244
428.0,A4,0.070872441317671
416.0,G#4,0.25373988705482076
844.0,G#5,0.20563679740556404
856.0,A5,0.09258701612415442
416.0,G#4,0.2577238737611292
832.0,G#5,0.20318325434975765
856.0,A5,0.10059915435912387
416.0,G#4,0.26804612170383324
832.0,G#5,0.23600961496914427
856.0,A5,0.0795732187462594
828.0,G#5,0.29575831538614245
416.0,G#4,0.2792646891585652
1244.0,D#6,0.05466669225262196
832.0,G#5,0.32473349881074415
416.0,G#4,0.2842670303013749
1244.0,D#6,0.06499974543180903
832.0,G#5,0.31234738114266597
416.0,G#4,0.26936109484976
1244.0,D#6,0.0650293807792163
832.0,G#5,0.23788891311441768
416.0,G#4,0.2115012815483219
428.0,A4,0.07442041001890858
828.0,G#5,0.1597744300951885
420.0,G#4,0.1555177425069931
464.0,A#4,0.10296825681619748
468.0,A#4,0.1903183269331304
936.0,A#5,0.14560209193746887
420.0,G#4,0.12328377602243017
468.0,A#4,0.2680453986293622
936.0,A#5,0.18157766709661455
416.0,G#4,0.07326360258284716
